Division,District,Thana / Upazila,Thana Type,Population (Est. 2022),Area (sq km),Pop. Density (per sq km),Division Code,District Code
Sylhet,Sylhet,Bishwanath,Upazila,206000,189,1090,60,6001
Sylhet,Sylhet,Companiganj,Upazila,130000,208,625,60,6001
Sylhet,Sylhet,Fenchuganj,Upazila,104000,102,1020,60,6001
Sylhet,Sylhet,Golapganj,Upazila,225000,281,801,60,6001
Sylhet,Sylhet,Gowainghat,Upazila,141000,463,305,60,6001
Sylhet,Sylhet,Jaintiapur,Upazila,118000,283,417,60,6001
Sylhet,Sylhet,Kanaighat,Upazila,181000,313,578,60,6001
Sylhet,Sylhet,Osmani Nagar,Upazila,198000,118,1678,60,6001
Sylhet,Sylhet,Sylhet Sadar,Upazila,545000,116,4698,60,6001
Sylhet,Sylhet,Zakiganj,Upazila,175000,279,627,60,6001
Sylhet,Sylhet,South Surma,Upazila,170000,183,929,60,6001
Sylhet,Moulvibazar,Barlekha,Upazila,175000,293,597,60,6002
Sylhet,Moulvibazar,Juri,Upazila,101000,206,490,60,6002
Sylhet,Moulvibazar,Kamalganj,Upazila,172000,271,635,60,6002
Sylhet,Moulvibazar,Kulaura,Upazila,234000,388,603,60,6002
Sylhet,Moulvibazar,Moulvibazar Sadar,Upazila,260000,259,1004,60,6002
Sylhet,Moulvibazar,Rajnagar,Upazila,97000,188,516,60,6002
Sylhet,Moulvibazar,Sreemangal,Upazila,159000,428,371,60,6002
Sylhet,Habiganj,Ajmiriganj,Upazila,100000,150,667,60,6003
Sylhet,Habiganj,Bahubal,Upazila,148000,188,787,60,6003
Sylhet,Habiganj,Baniachong,Upazila,283000,350,809,60,6003
Sylhet,Habiganj,Chunarughat,Upazila,186000,417,446,60,6003
Sylhet,Habiganj,Habiganj Sadar,Upazila,285000,218,1307,60,6003
Sylhet,Habiganj,Lakhai,Upazila,101000,148,682,60,6003
Sylhet,Habiganj,Madhabpur,Upazila,152000,272,559,60,6003
Sylhet,Habiganj,Nabiganj,Upazila,172000,325,529,60,6003
Sylhet,Sunamganj,Bishwamvarpur,Upazila,86000,160,538,60,6004
Sylhet,Sunamganj,Chhatak,Upazila,204000,197,1036,60,6004
Sylhet,Sunamganj,Derai,Upazila,131000,275,476,60,6004
Sylhet,Sunamganj,Dharampasha,Upazila,116000,346,335,60,6004
Sylhet,Sunamganj,Dowarabazar,Upazila,97000,259,375,60,6004
Sylhet,Sunamganj,Jagannathpur,Upazila,170000,275,618,60,6004
Sylhet,Sunamganj,Jamalganj,Upazila,89000,266,335,60,6004
Sylhet,Sunamganj,Sulla,Upazila,80000,261,307,60,6004
Sylhet,Sunamganj,Sunamganj Sadar,Upazila,223000,147,1517,60,6004
Sylhet,Sunamganj,Tahirpur,Upazila,90000,207,435,60,6004
Sylhet,Sunamganj,Shalla,Upazila,80000,210,381,60,6004
Barishal,Barishal,Barishal Sadar,City/Upazila,202000,58,3483,10,1001
Barishal,Barishal,Airport,City Thana,130000,19.5,6667,10,1001
Barishal,Barishal,Banaripara,Upazila,189000,178,1062,10,1001
Barishal,Barishal,Babuganj,Upazila,143000,167,856,10,1001
Barishal,Barishal,Bakerganj,Upazila,265000,296,895,10,1001
Barishal,Barishal,Belhara,Upazila,75000,88,852,10,1001
Barishal,Barishal,Gaurnadi,Upazila,138000,138,1000,10,1001
Barishal,Barishal,Hizla,Upazila,116000,193,601,10,1001
Barishal,Barishal,Mehendiganj,Upazila,215000,451,477,10,1001
Barishal,Barishal,Muladi,Upazila,128000,199,643,10,1001
Barishal,Barishal,Wazirpur,Upazila,152000,208,731,10,1001
Barishal,Bhola,Bhola Sadar,Upazila,305000,396,770,10,1002
Barishal,Bhola,Burhanuddin,Upazila,165000,267,618,10,1002
Barishal,Bhola,Char Fasson,Upazila,257000,1228,209,10,1002
Barishal,Bhola,Daulatkhan,Upazila,152000,213,714,10,1002
Barishal,Bhola,Lalmohan,Upazila,202000,337,599,10,1002
Barishal,Bhola,Manpura,Upazila,76000,373,204,10,1002
Barishal,Bhola,Tazumuddin,Upazila,113000,219,516,10,1002
Barishal,Patuakhali,Bauphal,Upazila,238000,492,484,10,1003
Barishal,Patuakhali,Dashmina,Upazila,118000,273,432,10,1003
Barishal,Patuakhali,Dumki,Upazila,84000,127,661,10,1003
Barishal,Patuakhali,Galachipa,Upazila,228000,718,318,10,1003
Barishal,Patuakhali,Kalapara,Upazila,218000,1022,213,10,1003
Barishal,Patuakhali,Mirzaganj,Upazila,104000,181,575,10,1003
Barishal,Patuakhali,Patuakhali Sadar,Upazila,198000,294,673,10,1003
Barishal,Patuakhali,Rangabali,Upazila,72000,397,181,10,1003
Barishal,Pirojpur,Bhandaria,Upazila,130000,186,699,10,1004
Barishal,Pirojpur,Kawkhali,Upazila,101000,147,687,10,1004
Barishal,Pirojpur,Mathbaria,Upazila,185000,280,661,10,1004
Barishal,Pirojpur,Nazirpur,Upazila,163000,250,652,10,1004
Barishal,Pirojpur,Nesarabad,Upazila,132000,212,623,10,1004
Barishal,Pirojpur,Pirojpur Sadar,Upazila,187000,213,878,10,1004
Barishal,Pirojpur,Zianagar,Upazila,91000,133,684,10,1004
Barishal,Jhalokati,Jhalokati Sadar,Upazila,163000,215,758,10,1005
Barishal,Jhalokati,Kathalia,Upazila,109000,178,612,10,1005
Barishal,Jhalokati,Nalchity,Upazila,94000,148,635,10,1005
Barishal,Jhalokati,Rajapur,Upazila,100000,154,649,10,1005
Barishal,Barguna,Amtali,Upazila,161000,385,418,10,1006
Barishal,Barguna,Bamna,Upazila,67000,188,356,10,1006
Barishal,Barguna,Barguna Sadar,Upazila,175000,387,452,10,1006
Barishal,Barguna,Betagi,Upazila,108000,236,458,10,1006
Barishal,Barguna,Pathorghata,Upazila,139000,330,421,10,1006
Barishal,Barguna,Taltali,Upazila,79000,339,233,10,1006
Rangpur,Rangpur,Rangpur Sadar,Upazila,365000,149,2450,55,5501
Rangpur,Rangpur,Badarganj,Upazila,178000,219,813,55,5501
Rangpur,Rangpur,Gangachara,Upazila,210000,363,579,55,5501
Rangpur,Rangpur,Kaunia,Upazila,141000,184,766,55,5501
Rangpur,Rangpur,Mithapukur,Upazila,311000,447,696,55,5501
Rangpur,Rangpur,Pirgachha,Upazila,192000,260,738,55,5501
Rangpur,Rangpur,Pirganj,Upazila,287000,432,664,55,5501
Rangpur,Rangpur,Taraganj,Upazila,145000,194,747,55,5501
Rangpur,Dinajpur,Birampur,Upazila,145000,234,620,55,5502
Rangpur,Dinajpur,Birganj,Upazila,206000,311,662,55,5502
Rangpur,Dinajpur,Biral,Upazila,172000,259,664,55,5502
Rangpur,Dinajpur,Bochaganj,Upazila,162000,249,651,55,5502
Rangpur,Dinajpur,Chirirbandar,Upazila,183000,283,647,55,5502
Rangpur,Dinajpur,Dinajpur Sadar,Upazila,457000,395,1157,55,5502
Rangpur,Dinajpur,Fulbari,Upazila,148000,200,740,55,5502
Rangpur,Dinajpur,Ghoraghat,Upazila,86000,150,573,55,5502
Rangpur,Dinajpur,Hakimpur,Upazila,88000,130,677,55,5502
Rangpur,Dinajpur,Kaharole,Upazila,135000,202,668,55,5502
Rangpur,Dinajpur,Khansama,Upazila,150000,203,739,55,5502
Rangpur,Dinajpur,Nawabganj,Upazila,147000,220,668,55,5502
Rangpur,Dinajpur,Parbatipur,Upazila,213000,289,737,55,5502
Rangpur,Gaibandha,Fulchhari,Upazila,130000,220,591,55,5503
Rangpur,Gaibandha,Gaibandha Sadar,Upazila,282000,282,1000,55,5503
Rangpur,Gaibandha,Gobindaganj,Upazila,314000,403,779,55,5503
Rangpur,Gaibandha,Palashbari,Upazila,163000,199,819,55,5503
Rangpur,Gaibandha,Sadullapur,Upazila,213000,302,705,55,5503
Rangpur,Gaibandha,Saghata,Upazila,153000,295,519,55,5503
Rangpur,Gaibandha,Sundarganj,Upazila,289000,430,672,55,5503
Rangpur,Kurigram,Bhurungamari,Upazila,179000,317,565,55,5504
Rangpur,Kurigram,Char Rajibpur,Upazila,73000,164,445,55,5504
Rangpur,Kurigram,Chilmari,Upazila,108000,208,519,55,5504
Rangpur,Kurigram,Kurigram Sadar,Upazila,260000,263,989,55,5504
Rangpur,Kurigram,Nageshwari,Upazila,239000,322,742,55,5504
Rangpur,Kurigram,Phulbari,Upazila,109000,174,626,55,5504
Rangpur,Kurigram,Rajarhat,Upazila,149000,193,772,55,5504
Rangpur,Kurigram,Raumari,Upazila,120000,189,635,55,5504
Rangpur,Kurigram,Ulipur,Upazila,249000,382,652,55,5504
Rangpur,Lalmonirhat,Aditmari,Upazila,145000,207,700,55,5505
Rangpur,Lalmonirhat,Hatibandha,Upazila,166000,269,617,55,5505
Rangpur,Lalmonirhat,Kaliganj,Upazila,148000,196,755,55,5505
Rangpur,Lalmonirhat,Lalmonirhat Sadar,Upazila,235000,191,1230,55,5505
Rangpur,Lalmonirhat,Patgram,Upazila,148000,294,503,55,5505
Rangpur,Nilphamari,Dimla,Upazila,192000,287,669,55,5506
Rangpur,Nilphamari,Domar,Upazila,169000,231,732,55,5506
Rangpur,Nilphamari,Jaldhaka,Upazila,190000,261,728,55,5506
Rangpur,Nilphamari,Kishoreganj,Upazila,136000,184,739,55,5506
Rangpur,Nilphamari,Nilphamari Sadar,Upazila,283000,259,1093,55,5506
Rangpur,Nilphamari,Saidpur,Upazila,235000,127,1850,55,5506
Rangpur,Panchagarh,Atwari,Upazila,112000,235,477,55,5507
Rangpur,Panchagarh,Boda,Upazila,178000,330,539,55,5507
Rangpur,Panchagarh,Debiganj,Upazila,168000,318,528,55,5507
Rangpur,Panchagarh,Panchagarh Sadar,Upazila,190000,336,565,55,5507
Rangpur,Panchagarh,Tetulia,Upazila,102000,214,477,55,5507
Rangpur,Thakurgaon,Baliadangi,Upazila,148000,253,585,55,5508
Rangpur,Thakurgaon,Haripur,Upazila,100000,186,538,55,5508
Rangpur,Thakurgaon,Pirganj,Upazila,207000,337,614,55,5508
Rangpur,Thakurgaon,Ranisankail,Upazila,175000,280,625,55,5508
Rangpur,Thakurgaon,Thakurgaon Sadar,Upazila,270000,344,785,55,5508
Mymensingh,Mymensingh,Bhaluka,Upazila,298000,394,756,45,4501
Mymensingh,Mymensingh,Dhobaura,Upazila,101000,204,495,45,4501
Mymensingh,Mymensingh,Fulbaria,Upazila,232000,283,820,45,4501
Mymensingh,Mymensingh,Gaffargaon,Upazila,255000,320,797,45,4501
Mymensingh,Mymensingh,Gauripur,Upazila,181000,216,838,45,4501
Mymensingh,Mymensingh,Haluaghat,Upazila,171000,328,521,45,4501
Mymensingh,Mymensingh,Ishwarganj,Upazila,226000,279,810,45,4501
Mymensingh,Mymensingh,Muktagachha,Upazila,196000,248,790,45,4501
Mymensingh,Mymensingh,Mymensingh Sadar,Upazila,556000,243,2288,45,4501
Mymensingh,Mymensingh,Nandail,Upazila,222000,285,779,45,4501
Mymensingh,Mymensingh,Phulpur,Upazila,231000,357,647,45,4501
Mymensingh,Mymensingh,Trishal,Upazila,238000,294,810,45,4501
Mymensingh,Mymensingh,Tarakanda,Upazila,138000,204,676,45,4501
Mymensingh,Jamalpur,Bakshiganj,Upazila,161000,207,778,45,4502
Mymensingh,Jamalpur,Dewanganj,Upazila,186000,245,759,45,4502
Mymensingh,Jamalpur,Islampur,Upazila,232000,303,766,45,4502
Mymensingh,Jamalpur,Jamalpur Sadar,Upazila,436000,299,1458,45,4502
Mymensingh,Jamalpur,Madarganj,Upazila,148000,202,733,45,4502
Mymensingh,Jamalpur,Melandaha,Upazila,182000,262,695,45,4502
Mymensingh,Jamalpur,Sarishabari,Upazila,222000,263,844,45,4502
Mymensingh,Netrokona,Atpara,Upazila,124000,194,639,45,4503
Mymensingh,Netrokona,Barhatta,Upazila,131000,213,615,45,4503
Mymensingh,Netrokona,Durgapur,Upazila,109000,315,346,45,4503
Mymensingh,Netrokona,Kalmakanda,Upazila,143000,354,404,45,4503
Mymensingh,Netrokona,Kendua,Upazila,196000,314,624,45,4503
Mymensingh,Netrokona,Khaliajuri,Upazila,73000,148,493,45,4503
Mymensingh,Netrokona,Madan,Upazila,112000,202,554,45,4503
Mymensingh,Netrokona,Mohanganj,Upazila,115000,185,622,45,4503
Mymensingh,Netrokona,Netrokona Sadar,Upazila,243000,291,835,45,4503
Mymensingh,Netrokona,Purbadhala,Upazila,160000,257,623,45,4503
Mymensingh,Sherpur,Jhenaigati,Upazila,95000,290,328,45,4504
Mymensingh,Sherpur,Nakla,Upazila,143000,222,644,45,4504
Mymensingh,Sherpur,Nalitabari,Upazila,183000,395,463,45,4504
Mymensingh,Sherpur,Sherpur Sadar,Upazila,310000,320,969,45,4504
Mymensingh,Sherpur,Sreebardi,Upazila,147000,263,559,45,4504
